topic, metric, value, alpha, gamma, eta, inference, dataset
27,coh,-225.925,1e-05,1e-05,0.000114,crs,denews-25-set1
27,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
28,pmi,21.7654,1e-05,1e-05,0.000114,crs,denews-25-set1
28,coh,-306.224,1e-05,1e-05,0.000114,crs,denews-25-set1
28,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
29,pmi,53.1809,1e-05,1e-05,0.000114,crs,denews-25-set1
29,coh,-315.236,1e-05,1e-05,0.000114,crs,denews-25-set1
29,itd,9.90566,1e-05,1e-05,0.000114,crs,denews-25-set1
30,pmi,23.0547,1e-05,1e-05,0.000114,crs,denews-25-set1
30,coh,-218.547,1e-05,1e-05,0.000114,crs,denews-25-set1
30,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
31,pmi,11.7022,1e-05,1e-05,0.000114,crs,denews-25-set1
31,coh,-364.466,1e-05,1e-05,0.000114,crs,denews-25-set1
31,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
32,pmi,41.3097,1e-05,1e-05,0.000114,crs,denews-25-set1
32,coh,-317.956,1e-05,1e-05,0.000114,crs,denews-25-set1
32,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
33,pmi,-28.4148,1e-05,1e-05,0.000114,crs,denews-25-set1
33,coh,-263.585,1e-05,1e-05,0.000114,crs,denews-25-set1
33,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
34,pmi,47.7887,1e-05,1e-05,0.000114,crs,denews-25-set1
34,coh,-138.675,1e-05,1e-05,0.000114,crs,denews-25-set1
34,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
35,pmi,-5.89033,1e-05,1e-05,0.000114,crs,denews-25-set1
35,coh,-308.051,1e-05,1e-05,0.000114,crs,denews-25-set1
35,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
36,pmi,-19.6525,1e-05,1e-05,0.000114,crs,denews-25-set1
36,coh,-259.649,1e-05,1e-05,0.000114,crs,denews-25-set1
36,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
37,pmi,51.5131,1e-05,1e-05,0.000114,crs,denews-25-set1
37,coh,-252.829,1e-05,1e-05,0.000114,crs,denews-25-set1
37,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
38,pmi,33.8983,1e-05,1e-05,0.000114,crs,denews-25-set1
38,coh,-189.224,1e-05,1e-05,0.000114,crs,denews-25-set1
38,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
39,pmi,70.0399,1e-05,1e-05,0.000114,crs,denews-25-set1
39,coh,-225.469,1e-05,1e-05,0.000114,crs,denews-25-set1
39,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
40,pmi,-50.3091,1e-05,1e-05,0.000114,crs,denews-25-set1
40,coh,-273.442,1e-05,1e-05,0.000114,crs,denews-25-set1
40,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
41,pmi,74.7684,1e-05,1e-05,0.000114,crs,denews-25-set1
41,coh,-170.22,1e-05,1e-05,0.000114,crs,denews-25-set1
41,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
42,pmi,-22.4739,1e-05,1e-05,0.000114,crs,denews-25-set1
42,coh,-356.223,1e-05,1e-05,0.000114,crs,denews-25-set1
42,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
43,pmi,-41.06,1e-05,1e-05,0.000114,crs,denews-25-set1
43,coh,-271.224,1e-05,1e-05,0.000114,crs,denews-25-set1
43,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
44,pmi,-2.49758,1e-05,1e-05,0.000114,crs,denews-25-set1
44,coh,-256.208,1e-05,1e-05,0.000114,crs,denews-25-set1
44,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
45,pmi,13.2811,1e-05,1e-05,0.000114,crs,denews-25-set1
45,coh,-260.704,1e-05,1e-05,0.000114,crs,denews-25-set1
45,itd,9.9434,1e-05,1e-05,0.000114,crs,denews-25-set1
46,pmi,19.6189,1e-05,1e-05,0.000114,crs,denews-25-set1
46,coh,-283.366,1e-05,1e-05,0.000114,crs,denews-25-set1
46,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
47,pmi,119.447,1e-05,1e-05,0.000114,crs,denews-25-set1
47,coh,-294.063,1e-05,1e-05,0.000114,crs,denews-25-set1
47,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
48,pmi,43.6665,1e-05,1e-05,0.000114,crs,denews-25-set1
48,coh,-357.902,1e-05,1e-05,0.000114,crs,denews-25-set1
48,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
49,pmi,-18.0174,1e-05,1e-05,0.000114,crs,denews-25-set1
49,coh,-343.398,1e-05,1e-05,0.000114,crs,denews-25-set1
49,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
50,pmi,-55.9843,1e-05,1e-05,0.000114,crs,denews-25-set1
50,coh,-315.924,1e-05,1e-05,0.000114,crs,denews-25-set1
50,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
51,pmi,30.6144,1e-05,1e-05,0.000114,crs,denews-25-set1
51,coh,-292.198,1e-05,1e-05,0.000114,crs,denews-25-set1
51,itd,9.88679,1e-05,1e-05,0.000114,crs,denews-25-set1
52,pmi,24.6076,1e-05,1e-05,0.000114,crs,denews-25-set1
52,coh,-283.046,1e-05,1e-05,0.000114,crs,denews-25-set1
52,itd,9.90566,1e-05,1e-05,0.000114,crs,denews-25-set1
53,pmi,17.5902,1e-05,1e-05,0.000114,crs,denews-25-set1
53,coh,-308.543,1e-05,1e-05,0.000114,crs,denews-25-set1
53,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
0,pmi,66.1552,1e-05,1e-05,0.000114,rand,denews-25-set1
0,coh,-335.118,1e-05,1e-05,0.000114,rand,denews-25-set1
0,itd,9.8,1e-05,1e-05,0.000114,rand,denews-25-set1
1,pmi,85.5363,1e-05,1e-05,0.000114,rand,denews-25-set1
1,coh,-276.982,1e-05,1e-05,0.000114,rand,denews-25-set1
1,itd,9.88333,1e-05,1e-05,0.000114,rand,denews-25-set1
2,pmi,-29.5523,1e-05,1e-05,0.000114,rand,denews-25-set1
2,coh,-248.017,1e-05,1e-05,0.000114,rand,denews-25-set1
2,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
3,pmi,47.8371,1e-05,1e-05,0.000114,rand,denews-25-set1
3,coh,-290.551,1e-05,1e-05,0.000114,rand,denews-25-set1
3,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
4,pmi,48.6152,1e-05,1e-05,0.000114,rand,denews-25-set1
4,coh,-293.554,1e-05,1e-05,0.000114,rand,denews-25-set1
4,itd,9.85,1e-05,1e-05,0.000114,rand,denews-25-set1
5,pmi,65.941,1e-05,1e-05,0.000114,rand,denews-25-set1
5,coh,-247.359,1e-05,1e-05,0.000114,rand,denews-25-set1
5,itd,9.73333,1e-05,1e-05,0.000114,rand,denews-25-set1
6,pmi,55.9522,1e-05,1e-05,0.000114,rand,denews-25-set1
6,coh,-270.007,1e-05,1e-05,0.000114,rand,denews-25-set1
6,itd,9.7,1e-05,1e-05,0.000114,rand,denews-25-set1
7,pmi,76.4353,1e-05,1e-05,0.000114,rand,denews-25-set1
7,coh,-298.127,1e-05,1e-05,0.000114,rand,denews-25-set1
7,itd,9.71667,1e-05,1e-05,0.000114,rand,denews-25-set1
8,pmi,14.366,1e-05,1e-05,0.000114,rand,denews-25-set1
8,coh,-332.92,1e-05,1e-05,0.000114,rand,denews-25-set1
8,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
9,pmi,3.38577,1e-05,1e-05,0.000114,rand,denews-25-set1
9,coh,-326.867,1e-05,1e-05,0.000114,rand,denews-25-set1
9,itd,9.88333,1e-05,1e-05,0.000114,rand,denews-25-set1
10,pmi,84.3135,1e-05,1e-05,0.000114,rand,denews-25-set1
10,coh,-288.619,1e-05,1e-05,0.000114,rand,denews-25-set1
10,itd,9.93333,1e-05,1e-05,0.000114,rand,denews-25-set1
11,pmi,54.4047,1e-05,1e-05,0.000114,rand,denews-25-set1
11,coh,-224.898,1e-05,1e-05,0.000114,rand,denews-25-set1
11,itd,9.93333,1e-05,1e-05,0.000114,rand,denews-25-set1
12,pmi,17.5445,1e-05,1e-05,0.000114,rand,denews-25-set1
12,coh,-256.671,1e-05,1e-05,0.000114,rand,denews-25-set1
12,itd,9.8,1e-05,1e-05,0.000114,rand,denews-25-set1
13,pmi,38.5783,1e-05,1e-05,0.000114,rand,denews-25-set1
13,coh,-329.842,1e-05,1e-05,0.000114,rand,denews-25-set1
13,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
14,pmi,31.4534,1e-05,1e-05,0.000114,rand,denews-25-set1
14,coh,-281.003,1e-05,1e-05,0.000114,rand,denews-25-set1
14,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
15,pmi,0.439105,1e-05,1e-05,0.000114,rand,denews-25-set1
15,coh,-319.532,1e-05,1e-05,0.000114,rand,denews-25-set1
15,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
16,pmi,-16.4806,1e-05,1e-05,0.000114,rand,denews-25-set1
16,coh,-275.339,1e-05,1e-05,0.000114,rand,denews-25-set1
16,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
17,pmi,72.3738,1e-05,1e-05,0.000114,rand,denews-25-set1
17,coh,-273.262,1e-05,1e-05,0.000114,rand,denews-25-set1
17,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
18,pmi,57.8985,1e-05,1e-05,0.000114,rand,denews-25-set1
18,coh,-256.39,1e-05,1e-05,0.000114,rand,denews-25-set1
18,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
19,pmi,43.626,1e-05,1e-05,0.000114,rand,denews-25-set1
19,coh,-333.15,1e-05,1e-05,0.000114,rand,denews-25-set1
19,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
20,pmi,54.0493,1e-05,1e-05,0.000114,rand,denews-25-set1
20,coh,-267.411,1e-05,1e-05,0.000114,rand,denews-25-set1
20,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
21,pmi,52.2067,1e-05,1e-05,0.000114,rand,denews-25-set1
21,coh,-273.995,1e-05,1e-05,0.000114,rand,denews-25-set1
21,itd,9.88333,1e-05,1e-05,0.000114,rand,denews-25-set1
22,pmi,13.2811,1e-05,1e-05,0.000114,rand,denews-25-set1
22,coh,-260.704,1e-05,1e-05,0.000114,rand,denews-25-set1
22,itd,9.93333,1e-05,1e-05,0.000114,rand,denews-25-set1
23,pmi,28.8859,1e-05,1e-05,0.000114,rand,denews-25-set1
23,coh,-241.706,1e-05,1e-05,0.000114,rand,denews-25-set1
23,itd,9.9,1e-05,1e-05,0.000114,rand,denews-25-set1
24,pmi,28.1393,1e-05,1e-05,0.000114,rand,denews-25-set1
24,coh,-313.858,1e-05,1e-05,0.000114,rand,denews-25-set1
24,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
25,pmi,10.5878,1e-05,1e-05,0.000114,rand,denews-25-set1
25,coh,-255.858,1e-05,1e-05,0.000114,rand,denews-25-set1
25,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
26,pmi,16.9513,1e-05,1e-05,0.000114,rand,denews-25-set1
26,coh,-221.901,1e-05,1e-05,0.000114,rand,denews-25-set1
26,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
27,pmi,51.8833,1e-05,1e-05,0.000114,rand,denews-25-set1
27,coh,-284.343,1e-05,1e-05,0.000114,rand,denews-25-set1
27,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
28,pmi,53.6117,1e-05,1e-05,0.000114,rand,denews-25-set1
28,coh,-354.962,1e-05,1e-05,0.000114,rand,denews-25-set1
28,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
29,pmi,55.9255,1e-05,1e-05,0.000114,rand,denews-25-set1
29,coh,-270.31,1e-05,1e-05,0.000114,rand,denews-25-set1
