topic, pmi, sc, its, alpha, gamma, eta, inference
43,59.0191,-308.811,773,0.0001,0.0001,0.00114811,sa
44,74.4983,-285.292,770,0.0001,0.0001,0.00114811,sa
45,57.0235,-422.969,761,0.0001,0.0001,0.00114811,sa
46,61.4613,-426.335,771,0.0001,0.0001,0.00114811,sa
47,9.25215,-304.308,771,0.0001,0.0001,0.00114811,sa
48,42.0157,-415.721,768,0.0001,0.0001,0.00114811,sa
49,102.888,-306.393,774,0.0001,0.0001,0.00114811,sa
50,42.8426,-314.975,776,0.0001,0.0001,0.00114811,sa
51,63.1922,-336.607,743,0.0001,0.0001,0.00114811,sa
52,26.663,-347.532,784,0.0001,0.0001,0.00114811,sa
53,28.1164,-360.839,766,0.0001,0.0001,0.00114811,sa
54,16.1055,-388.308,771,0.0001,0.0001,0.00114811,sa
55,53.3469,-279.302,766,0.0001,0.0001,0.00114811,sa
56,62.5377,-258.155,772,0.0001,0.0001,0.00114811,sa
57,68.5123,-274.768,779,0.0001,0.0001,0.00114811,sa
58,-25.7645,-376.244,776,0.0001,0.0001,0.00114811,sa
59,38.3824,-355.223,774,0.0001,0.0001,0.00114811,sa
60,25.0635,-305.465,774,0.0001,0.0001,0.00114811,sa
61,37.351,-266.036,770,0.0001,0.0001,0.00114811,sa
62,76.8238,-242.815,783,0.0001,0.0001,0.00114811,sa
63,38.0424,-378.952,775,0.0001,0.0001,0.00114811,sa
64,-11.4096,-417.391,770,0.0001,0.0001,0.00114811,sa
65,76.646,-299.365,757,0.0001,0.0001,0.00114811,sa
66,39.8607,-374.862,771,0.0001,0.0001,0.00114811,sa
67,68.3206,-356.399,777,0.0001,0.0001,0.00114811,sa
68,21.8679,-332.631,775,0.0001,0.0001,0.00114811,sa
69,38.4903,-368.49,775,0.0001,0.0001,0.00114811,sa
70,64.4459,-242.7,744,0.0001,0.0001,0.00114811,sa
71,19.1251,-297.285,771,0.0001,0.0001,0.00114811,sa
72,87.9677,-177.589,756,0.0001,0.0001,0.00114811,sa
73,18.7994,-357.872,786,0.0001,0.0001,0.00114811,sa
74,-26.4372,-423.664,766,0.0001,0.0001,0.00114811,sa
75,26.7716,-399.967,777,0.0001,0.0001,0.00114811,sa
76,45.6845,-388.013,764,0.0001,0.0001,0.00114811,sa
77,36.3871,-286.102,776,0.0001,0.0001,0.00114811,sa
78,17.482,-352.408,785,0.0001,0.0001,0.00114811,sa
79,30.2395,-370.763,774,0.0001,0.0001,0.00114811,sa
