topic, metric, value, alpha, gamma, eta, inference, dataset
19,coh,-303.024,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
19,itd,9.68421,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
0,pmi,66.7169,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
0,coh,-358.465,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
0,itd,9.88889,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
1,pmi,73.5471,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
1,coh,-341.997,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
1,itd,9.5,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
2,pmi,39.3438,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
2,coh,-325.844,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
2,itd,9.61111,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
3,pmi,46.9643,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
3,coh,-318.687,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
3,itd,9.88889,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
4,pmi,102.006,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
4,coh,-312.91,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
4,itd,9.83333,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
5,pmi,51.883,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
5,coh,-269.142,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
5,itd,9.88889,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
6,pmi,44.5627,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
6,coh,-208.383,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
6,itd,9.72222,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
7,pmi,65.7281,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
7,coh,-267.974,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
7,itd,10,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
8,pmi,73.2856,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
8,coh,-232.33,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
8,itd,9.88889,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
9,pmi,92.1122,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
9,coh,-271.021,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
9,itd,9.88889,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
10,pmi,91.7697,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
10,coh,-277.594,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
10,itd,10,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
11,pmi,300.678,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
11,coh,-346.385,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
11,itd,9.88889,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
12,pmi,57.2997,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
12,coh,-318.484,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
12,itd,9.83333,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
13,pmi,118.665,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
13,coh,-251.872,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
13,itd,9.77778,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
14,pmi,90.2287,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
14,coh,-186.487,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
14,itd,9.61111,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
15,pmi,55.0832,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
15,coh,-323.205,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
15,itd,10,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
16,pmi,71.1991,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
16,coh,-295.276,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
16,itd,9.55556,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
17,pmi,225.181,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
17,coh,-332.102,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
17,itd,9.83333,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
18,pmi,72.4355,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
18,coh,-218.931,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
18,itd,9.94444,1.00E-05,1.00E-05,0.000154,rgs,ap-50-set3
0,pmi,62.956,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
0,coh,-359.566,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
0,itd,9.78947,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
1,pmi,104.131,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
1,coh,-196.258,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
1,itd,9.94737,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
2,pmi,73.8783,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
2,coh,-339.826,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
2,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
3,pmi,98.6932,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
3,coh,-270.895,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
3,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
4,pmi,81.9283,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
