topic, metric, value, alpha, gamma, eta, inference, dataset
18,coh,-256.39,1e-05,1e-05,0.000114,rand,denews-25-set1
18,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
19,pmi,104.419,1e-05,1e-05,0.000114,rand,denews-25-set1
19,coh,-333.15,1e-05,1e-05,0.000114,rand,denews-25-set1
19,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
20,pmi,87.3189,1e-05,1e-05,0.000114,rand,denews-25-set1
20,coh,-267.411,1e-05,1e-05,0.000114,rand,denews-25-set1
20,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
21,pmi,61.7435,1e-05,1e-05,0.000114,rand,denews-25-set1
21,coh,-273.995,1e-05,1e-05,0.000114,rand,denews-25-set1
21,itd,9.88333,1e-05,1e-05,0.000114,rand,denews-25-set1
22,pmi,32.823,1e-05,1e-05,0.000114,rand,denews-25-set1
22,coh,-260.704,1e-05,1e-05,0.000114,rand,denews-25-set1
22,itd,9.93333,1e-05,1e-05,0.000114,rand,denews-25-set1
23,pmi,102.599,1e-05,1e-05,0.000114,rand,denews-25-set1
23,coh,-241.706,1e-05,1e-05,0.000114,rand,denews-25-set1
23,itd,9.9,1e-05,1e-05,0.000114,rand,denews-25-set1
24,pmi,153.244,1e-05,1e-05,0.000114,rand,denews-25-set1
24,coh,-313.858,1e-05,1e-05,0.000114,rand,denews-25-set1
24,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
25,pmi,100.521,1e-05,1e-05,0.000114,rand,denews-25-set1
25,coh,-255.858,1e-05,1e-05,0.000114,rand,denews-25-set1
25,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
26,pmi,153.103,1e-05,1e-05,0.000114,rand,denews-25-set1
26,coh,-221.901,1e-05,1e-05,0.000114,rand,denews-25-set1
26,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
27,pmi,64.6147,1e-05,1e-05,0.000114,rand,denews-25-set1
27,coh,-284.343,1e-05,1e-05,0.000114,rand,denews-25-set1
27,itd,10,1e-05,1e-05,0.000114,rand,denews-25-set1
28,pmi,54.3843,1e-05,1e-05,0.000114,rand,denews-25-set1
28,coh,-354.962,1e-05,1e-05,0.000114,rand,denews-25-set1
28,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
29,pmi,56.2395,1e-05,1e-05,0.000114,rand,denews-25-set1
29,coh,-270.31,1e-05,1e-05,0.000114,rand,denews-25-set1
29,itd,9.91667,1e-05,1e-05,0.000114,rand,denews-25-set1
30,pmi,147.9,1e-05,1e-05,0.000114,rand,denews-25-set1
